SalesOrderNumber	OrderDate	OrderedProducts	EmployeeKey	OrderedQuantity	TotalPrice	TotalSales	TotalCost	TotalMargin
SO57151	2019-11-23	3	289	3	2025.24	2025.24	2120.52	-95.28
SO58914	2019-12-02	29	291	109	17565.91	69893.77	73730.57	-3836.8
SO58903	2019-12-01	5	283	14	1458.27	3614.44	3574.23	40.21
SO46670	2018-07-27	3	288	4	838.58	1438.84	1423.21	15.63
SO67296	2020-04-14	1	295	1	24.29	24.29	17.98	6.31
SO47419	2018-09-18	11	283	34	3894.92	12931.14	12977.21	-46.07
SO47995	2018-11-08	11	281	47	3010.29	14495.83	14751.36	-255.53
SO69528	2020-05-25	50	272	154	14475.12	34628.89	32184.67	2444.22
SO69425	2020-05-07	3	287	5	785.96	930.28	882.08	48.2
SO44763	2017-12-17	7	285	8	2598.1	3356.18	3311.43	44.75
SO47712	2018-10-24	35	283	163	19067.19	99759.07	101485.74	-1726.67
SO65216	2020-03-11	3	291	6	2046.57	5108.34	5415.91	-307.57
SO51153	2019-07-23	35	281	169	18838.73	91052.57	96502.8	-5450.23
SO49457	2019-03-04	1	282	2	33.77	67.54	49.99	17.55
SO51733	2019-08-08	30	292	59	15949.72	31749.6	38519.11	-6769.51
SO67303	2020-04-16	1	285	4	48.59	194.36	143.84	50.52
SO43845	2017-08-01	10	285	19	5101.5	8580.09	8600.29	-20.2
SO44770	2017-12-20	8	287	17	3875.72	10382.84	10414.55	-31.71
SO63192	2020-02-14	5	287	14	1045.16	1159.09	1158.24	0.85
SO61223	2020-01-17	4	283	5	1502.96	1544.95	1356.69	188.26
SO45325	2018-02-20	3	282	4	1713.71	2588.5	2595.72	-7.22
SO45321	2018-02-18	11	282	58	16299.18	61194.03	57357.53	3836.5
SO47701	2018-10-20	10	289	16	5092.01	6413.61	5734.91	678.7
SO46337	2018-06-07	2	287	4	598.04	955.2	941.75	13.45
SO45527	2018-03-06	25	288	68	20119.36	54458.87	54704.61	-245.74
SO57043	2019-11-06	8	292	12	5285.56	6917.43	7140.37	-222.94
SO46074	2018-05-20	14	288	34	6670.15	18206.62	18171.76	34.86
SO49107	2019-02-14	1	282	1	74.84	74.84	55.38	19.46
SO45064	2018-01-23	10	289	35	14274.66	53033.09	49721.63	3311.46
SO45571	2018-03-25	21	287	66	20915.24	78882.79	72887.56	5995.23
SO51705	2019-08-03	18	285	61	2640.02	5219.72	5206.79	12.93
SO47988	2018-11-06	51	291	203	22556.79	95370.28	96191.71	-821.43
SO51088	2019-07-03	35	283	85	15238.64	36907.22	33392.03	3515.19
SO65207	2020-03-10	34	285	141	10039.82	36952.48	37556.95	-604.47
SO57179	2019-11-28	13	288	32	3888.81	8934.92	9363.17	-428.25
SO53523	2019-09-14	21	292	90	815.65	3095.73	2406.58	689.15
SO45281	2018-02-06	3	281	3	1713.71	1713.71	1711.01	2.7
SO61218	2020-01-16	46	282	181	13040.78	41797.92	37589.17	4208.75
SO59033	2019-12-21	6	295	20	268.46	915.48	634.83	280.65
SO61211	2020-01-15	21	287	69	9816.79	23456.87	21001.91	2454.96
SO65311	2020-03-28	26	281	53	9900.75	13767.85	12216.91	1550.94
SO47351	2018-09-01	22	281	58	5035.87	11056.58	10402.56	654.02
SO49130	2019-02-19	3	281	4	1396.67	1416.86	1398.42	18.44
SO49545	2019-03-31	3	283	4	398.63	418.82	365.0	53.82
SO43858	2017-08-08	13	281	24	7138.34	13694.35	13672.35	22.0
SO55322	2019-10-29	34	287	224	6662.99	28006.88	28947.4	-940.52
SO57064	2019-11-09	11	285	32	3487.13	8436.4	8822.68	-386.28
SO44742	2017-12-04	27	283	115	12054.21	40150.87	40000.37	150.5
SO50751	2019-06-27	7	281	16	1376.85	1493.96	1306.89	187.07
SO53596	2019-09-26	1	282	1	48.59	48.59	35.96	12.63
SO69534	2020-05-27	4	283	12	88.17	331.12	213.54	117.58
SO44096	2017-09-15	2	281	4	4064.98	8129.96	7620.5	509.46
SO69550	2020-05-29	20	296	53	12205.39	41619.17	42873.71	-1254.54
SO49827	2019-04-03	48	291	176	14467.68	39298.77	38318.38	980.39
SO48049	2018-11-19	35	282	120	12472.34	41010.24	36537.4	4472.84
SO58943	2019-12-07	20	292	105	9838.57	60412.43	64691.6	-4279.17
SO50299	2019-05-27	2	289	2	819.11	819.11	716.29	102.82
SO50741	2019-06-25	2	283	2	508.39	508.39	470.26	38.13
SO46616	2018-07-06	65	291	413	22951.32	153431.37	159261.28	-5829.91
SO51752	2019-08-13	44	292	146	15442.96	57291.67	51246.76	6044.91
SO46650	2018-07-18	4	282	10	1644.27	3993.23	4867.06	-873.83
SO51714	2019-08-05	52	281	227	20847.08	78790.2	82201.6	-3411.4
SO49533	2019-03-29	36	281	102	10926.87	26460.99	23315.9	3145.09
SO49128	2019-02-19	2	283	4	939.58	1879.16	1946.83	-67.67
SO69504	2020-05-20	5	295	16	5058.33	13820.75	14239.7	-418.95
SO44308	2017-10-20	9	289	19	6213.92	12372.77	11560.66	812.11
SO46373	2018-06-22	1	285	2	809.76	1619.52	1398.19	221.33
SO65160	2020-03-03	37	282	170	9461.18	53785.17	58316.18	-4531.01
SO46061	2018-05-16	4	281	7	8114.96	14189.93	13300.71	889.22
SO53531	2019-09-15	48	282	159	14747.09	38783.09	34745.65	4037.44
SO48016	2018-11-14	39	282	115	17357.89	44297.77	44351.99	-54.22
SO55234	2019-10-01	46	285	155	14620.15	48197.07	43625.43	4571.64
SO65189	2020-03-07	33	284	147	11359.02	32765.81	33334.44	-568.63
SO59054	2019-12-26	2	287	3	1494.34	1558.24	1576.51	-18.27
SO49495	2019-03-15	18	285	64	7704.18	24248.31	21583.23	2665.08
SO57137	2019-11-20	52	281	151	14855.57	33951.16	30580.01	3371.15
SO61217	2020-01-15	21	285	69	9808.39	24995.11	22485.99	2509.12
SO69487	2020-05-17	3	289	8	2065.47	5175.82	5466.48	-290.66
SO59037	2019-12-22	8	291	40	191.19	696.71	548.4	148.31
SO48747	2019-01-12	5	289	13	2527.29	8742.96	7834.69	908.27
SO44555	2017-11-25	22	285	39	15677.27	30095.15	30203.43	-108.28
SO49864	2019-04-18	40	283	110	17681.23	45918.55	46272.77	-354.22
SO46343	2018-06-10	24	283	47	14933.83	29522.71	29595.58	-72.87
SO55318	2019-10-28	2	289	3	372.58	696.57	723.26	-26.69
SO51708	2019-08-04	22	292	74	2224.4	4004.8	3255.81	748.99
SO49516	2019-03-22	2	285	2	1317.69	1317.69	1173.24	144.45
SO49867	2019-04-18	1	284	1	183.94	183.94	170.14	13.8
SO50311	2019-05-30	39	283	153	7832.75	25839.05	25518.11	320.94
SO58925	2019-12-03	25	284	44	16686.89	24805.77	25403.18	-597.41
SO67325	2020-04-24	35	287	201	10271.08	34321.29	35693.27	-1371.98
SO63214	2020-02-18	44	295	163	12429.39	24495.52	21990.79	2504.73
SO63262	2020-02-24	19	281	35	14676.69	27709.11	29335.71	-1626.6
SO45790	2018-04-07	3	289	5	2514.84	2882.72	2897.24	-14.52
SO43677	2017-07-16	12	284	24	5832.73	7793.14	7768.65	24.49
SO63178	2020-02-11	4	284	16	1502.96	4676.84	4096.23	580.61
SO59010	2019-12-18	46	293	152	15620.25	41011.42	36879.53	4131.89
SO45577	2018-03-29	23	285	65	19394.48	58704.14	59006.15	-302.01
SO51778	2019-08-17	19	283	91	960.62	3055.85	2729.8	326.05
SO47039	2018-08-25	22	282	83	9517.85	32903.06	29249.69	3653.37
SO51124	2019-07-15	45	291	230	15434.3	77877.35	70974.5	6902.85
SO50202	2019-05-03	3	291	6	1275.04	2550.08	2274.3	275.78
SO47372	2018-09-07	18	282	33	6364.4	11476.38	10995.84	480.54
SO69555	2020-05-30	1	288	4	29.99	119.96	153.97	-34.01
SO47354	2018-09-02	51	291	139	22034.17	51710.54	51599.2	111.34
SO48353	2018-12-20	2	288	4	764.79	1529.58	1352.2	177.38
SO46354	2018-06-13	1	285	1	419.46	419.46	413.15	6.31
SO51172	2019-07-31	5	295	5	2636.68	2636.68	2682.87	-46.19
SO45567	2018-03-23	1	281	1	874.79	874.79	884.71	-9.92
SO58970	2019-12-12	25	281	78	12752.44	27952.5	29454.55	-1502.05
SO55277	2019-10-15	28	286	130	12652.86	57599.72	51844.32	5755.4
SO63241	2020-02-21	23	288	69	15226.56	54904.34	56452.82	-1548.48
SO57106	2019-11-16	6	283	15	1156.7	1866.81	1616.53	250.28
SO50737	2019-06-24	5	282	11	1443.4	2451.04	2536.47	-85.43
SO45575	2018-03-27	28	281	80	12750.86	29325.85	29341.35	-15.5
SO57069	2019-11-09	11	295	36	2896.71	6672.94	6905.16	-232.22
SO45075	2018-01-31	4	281	15	6095.67	12231.24	11447.26	783.98
SO50243	2019-05-14	11	283	57	3329.9	20139.06	20486.93	-347.87
SO53602	2019-09-27	3	281	4	386.37	710.36	767.36	-57.0
SO50205	2019-05-04	12	272	30	3334.74	5255.26	5262.52	-7.26
SO46076	2018-05-20	32	287	84	21097.3	62344.01	62589.31	-245.3
SO69503	2020-05-20	39	282	185	16619.43	61598.49	64663.11	-3064.62
SO51784	2019-08-18	6	283	11	3769.76	7407.69	7556.73	-149.04
SO50739	2019-06-25	6	281	15	1374.2	2458.57	2335.59	122.98
SO53484	2019-09-07	33	291	102	11193.79	28063.05	25169.1	2893.95
SO49835	2019-04-06	2	285	8	76.78	213.52	146.82	66.7
SO50272	2019-05-21	40	282	100	17259.66	44893.13	45201.45	-308.32
SO61240	2020-01-23	32	283	121	6935.17	13814.79	14176.13	-361.34
SO47696	2018-10-17	27	291	142	14292.84	60544.87	53821.82	6723.05
SO51792	2019-08-19	1	289	1	818.7	818.7	747.2	71.5
SO49859	2019-04-16	5	283	7	1946.7	2886.28	2970.22	-83.94
SO55314	2019-10-26	5	281	21	2879.95	7556.79	6678.72	878.07
SO69529	2020-05-26	3	289	5	598.98	1522.36	1585.54	-63.18
SO47362	2018-09-04	13	291	41	6902.37	16427.78	14550.1	1877.68
SO50682	2019-06-07	35	283	113	12958.5	38777.8	34629.48	4148.32
SO44103	2017-09-19	5	284	12	1292.41	3814.36	3761.45	52.91
SO65191	2020-03-08	36	296	164	18760.66	56395.9	57764.04	-1368.14
SO49465	2019-03-06	31	281	89	16685.28	41071.7	41723.13	-651.43
SO50226	2019-05-10	55	282	184	18813.78	56191.31	55162.9	1028.41
SO57104	2019-11-15	12	285	39	2901.92	5742.67	5986.34	-243.67
SO57109	2019-11-16	4	293	8	2801.36	5639.32	5093.37	545.95
SO51841	2019-08-26	2	283	2	32.11	32.11	23.14	8.97
SO49153	2019-02-26	3	291	5	1275.04	2527.29	2258.63	268.66
SO44509	2017-11-08	32	283	107	18509.84	43615.49	43527.96	87.53
SO63191	2020-02-14	6	283	24	2699.94	9903.36	10473.6	-570.24
SO48750	2019-01-13	44	291	180	13999.44	54312.64	54515.84	-203.2
SO65306	2020-03-28	25	281	55	10879.49	22138.69	19938.33	2200.36
SO61258	2020-01-28	20	292	101	1851.32	10879.08	11154.22	-275.14
SO63163	2020-02-09	4	283	9	1069.47	4142.02	4367.23	-225.21
SO49869	2019-04-19	35	285	120	11424.86	38664.07	34576.56	4087.51
SO55233	2019-10-01	25	281	104	16749.96	61119.36	64473.28	-3353.92
SO63267	2020-02-25	3	291	4	892.19	1337.6	1385.19	-47.59
SO48373	2018-12-25	32	282	109	11304.71	38235.67	34031.01	4204.66
SO43867	2017-08-13	18	286	37	15331.5	32672.99	30184.76	2488.23
SO58971	2019-12-12	42	285	197	14775.81	37354.91	37664.28	-309.37
SO49068	2019-02-06	6	283	24	2818.74	11274.96	11680.95	-405.99
SO47411	2018-09-16	24	291	92	10407.44	37498.36	33388.2	4110.16
SO51110	2019-07-12	20	283	76	2109.61	6913.49	5976.95	936.54
SO43916	2017-08-30	14	282	40	11950.69	39450.74	36809.39	2641.35
SO48785	2019-01-26	5	283	9	2348.95	4228.11	4380.37	-152.26
SO47977	2018-11-04	3	291	7	3027.65	8206.5	8241.92	-35.42
SO57042	2019-11-06	26	282	61	16478.08	39988.61	42221.9	-2233.29
SO50721	2019-06-19	8	287	26	3843.97	13975.97	12504.5	1471.47
SO51838	2019-08-25	29	293	73	16145.18	39403.53	41211.97	-1808.44
SO69414	2020-05-05	16	281	45	10498.42	32910.64	33870.77	-960.13
SO55285	2019-10-17	2	282	3	361.24	398.49	398.79	-0.3
SO49048	2019-02-02	4	291	10	1879.16	4697.9	4867.07	-169.17
SO51822	2019-08-22	62	282	385	18037.26	130409.95	120204.6	10205.35
SO43892	2017-08-24	13	287	34	6651.46	16544.56	16520.6	23.96
SO55281	2019-10-15	2	285	5	372.58	518.35	487.49	30.86
SO67308	2020-04-18	6	288	15	1436.02	3960.71	4237.45	-276.74
SO46964	2018-08-08	56	283	237	23998.16	86763.9	87092.88	-328.98
SO49446	2019-03-02	6	283	29	2818.74	13623.91	14114.49	-490.58
SO50719	2019-06-18	2	282	3	245.73	425.86	315.14	110.72
SO46381	2018-06-25	1	289	2	714.7	1429.4	1234.06	195.34
SO59053	2019-12-26	2	295	5	35.38	125.35	160.89	-35.54
SO59001	2019-12-17	3	296	6	847.75	1021.53	971.69	49.84
SO57020	2019-11-02	1	295	1	672.29	672.29	713.08	-40.79
SO49509	2019-03-20	30	285	119	20019.07	89758.34	91810.51	-2052.17
SO48319	2018-12-11	2	292	4	2485.7	4971.4	4471.42	499.98
SO58991	2019-12-15	5	282	9	962.62	1920.47	1947.96	-27.49
SO67290	2020-04-12	15	287	55	2985.89	9654.77	10086.47	-431.7
SO53512	2019-09-11	33	290	96	12482.57	33664.28	30280.56	3383.72
SO47669	2018-10-04	8	288	22	3163.38	9304.42	9488.38	-183.96
SO44500	2017-11-06	6	282	16	1711.87	4710.96	4651.2	59.76
SO48784	2019-01-26	2	281	4	89.98	197.96	136.11	61.85
SO48787	2019-01-28	5	281	9	2348.95	4228.11	4380.37	-152.26
SO61209	2020-01-13	24	283	54	10732.23	28194.08	25422.64	2771.44
SO47978	2018-11-04	13	284	39	9446.44	23268.65	23662.13	-393.48
SO57168	2019-11-26	45	281	180	17979.58	53901.42	56284.93	-2383.51
SO48020	2018-11-14	8	285	19	3210.73	7573.92	7750.66	-176.74
SO43904	2017-08-26	12	283	18	7352.53	11361.27	11374.7	-13.43
SO46954	2018-08-07	3	282	3	1485.88	1485.88	1328.67	157.21
SO50232	2019-05-11	20	284	63	7470.13	26254.31	26714.7	-460.39
SO65279	2020-03-24	6	282	17	669.91	1582.4	1447.25	135.15
SO49522	2019-03-25	3	282	3	1601.52	1601.52	1445.17	156.35
SO47060	2018-08-29	3	288	7	856.06	1628.6	1558.61	69.99
SO51712	2019-08-05	49	293	153	15901.24	28821.6	33018.73	-4197.13
SO58902	2019-12-01	2	295	2	291.58	291.58	215.78	75.8
SO47661	2018-10-02	1	282	1	469.79	469.79	486.71	-16.92
SO63246	2020-02-22	13	285	21	7272.18	10771.49	11291.12	-519.63
SO48329	2018-12-14	2	288	2	1070.05	1070.05	1092.36	-22.31
SO51858	2019-08-29	41	292	223	20930.23	131627.89	158335.55	-26707.66
SO43856	2017-08-06	2	288	3	2030.69	2036.39	1904.88	131.51
SO58990	2019-12-15	1	291	1	1430.44	1430.44	1481.94	-51.5
SO51147	2019-07-21	50	285	288	16601.06	57218.31	59506.25	-2287.94
SO59035	2019-12-21	5	285	21	2879.95	6221.79	5452.92	768.87
SO49467	2019-03-07	15	291	53	10493.83	38254.32	34522.7	3731.62
SO50206	2019-05-04	48	289	245	15571.12	59913.04	52816.87	7096.17
SO44560	2017-11-26	2	288	2	936.66	936.66	924.17	12.49
SO47660	2018-10-01	1	285	1	469.79	469.79	486.71	-16.92
SO47394	2018-09-12	37	281	144	10436.9	32926.83	29227.13	3699.7
SO50275	2019-05-21	4	288	14	2486.9	5128.14	4569.51	558.63
SO57067	2019-11-09	58	295	282	12970.53	35788.74	31622.46	4166.28
SO51138	2019-07-18	21	293	74	9235.83	36252.37	45551.71	-9299.34
SO45313	2018-02-17	22	288	45	9494.25	16789.1	16715.21	73.89
SO53591	2019-09-25	1	281	1	1020.59	1020.59	1082.51	-61.92
SO49470	2019-03-07	3	285	7	398.63	546.99	453.11	93.88
SO51108	2019-07-10	52	285	209	9700.45	24633.36	22047.15	2586.21
SO65246	2020-03-18	4	285	8	1502.96	3005.92	2661.01	344.91
SO47378	2018-09-08	35	283	145	10378.64	39496.39	35145.91	4350.48
SO47450	2018-09-27	56	281	244	19537.22	65615.23	65540.34	74.89
SO51145	2019-07-21	14	293	65	3447.43	14616.46	15205.11	-588.65
SO58910	2019-12-01	30	289	79	11080.16	36336.06	32745.7	3590.36
SO44121	2017-09-25	14	282	44	18743.67	64713.82	60079.68	4634.14
SO65255	2020-03-20	19	293	39	14741.74	31295.09	32206.49	-911.4
SO65153	2020-03-01	5	283	7	1537.65	2428.47	2507.92	-79.45
SO48762	2019-01-18	4	284	6	1879.16	2818.74	2920.24	-101.5
SO49526	2019-03-27	3	281	5	1409.37	2348.95	2433.53	-84.58
SO44785	2017-12-25	1	283	5	28.84	144.2	158.62	-14.42
SO47984	2018-11-05	9	282	37	1925.37	5887.21	5641.35	245.86
SO44085	2017-09-08	21	288	45	8734.35	20644.27	20625.85	18.42
SO63154	2020-02-07	1	291	1	1466.01	1466.01	1554.95	-88.94
SO65217	2020-03-11	1	284	1	1466.01	1466.01	1554.95	-88.94
SO49149	2019-02-25	40	285	100	11699.82	23585.93	20801.72	2784.21
SO47065	2018-08-29	42	282	222	12272.63	56091.1	49797.27	6293.83
SO43857	2017-08-07	14	288	23	3913.38	7186.55	7163.88	22.67
SO57111	2019-11-16	4	272	10	2837.96	4424.9	3939.17	485.73
SO65282	2020-03-24	26	288	78	18814.66	52183.04	53680.23	-1497.19
SO69505	2020-05-20	16	282	40	2873.4	6150.85	5354.88	795.97
SO45342	2018-02-26	9	287	35	16265.62	63037.49	59079.48	3958.01
SO51166	2019-07-30	1	295	1	72.16	72.16	53.4	18.76
SO53570	2019-09-22	51	283	310	17609.96	63943.0	66216.22	-2273.22
SO46978	2018-08-12	1	289	1	234.9	234.9	486.71	-251.81
SO50246	2019-05-15	15	291	39	9978.42	26049.51	25834.75	214.76
SO46606	2018-07-02	1	282	2	28.84	57.68	58.16	-0.48
SO55266	2019-10-11	13	284	40	1902.23	3344.09	3418.99	-74.9
SO47050	2018-08-27	8	281	14	3362.86	6803.66	6623.38	180.28
SO48070	2018-11-25	1	283	1	183.94	183.94	170.14	13.8
SO55247	2019-10-06	5	287	5	4764.11	4764.11	4935.62	-171.51
SO44102	2017-09-17	5	285	9	2162.01	3513.94	3517.18	-3.24
SO63201	2020-02-17	25	281	110	15919.16	73270.17	77657.24	-4387.07
SO44508	2017-11-08	4	272	10	1677.84	4194.6	4131.48	63.12
SO59045	2019-12-24	3	294	3	3589.79	3589.79	3719.03	-129.24
