ProductKey	Product	Standard Cost	Color	Subcategory	Category	Background Color Format	Font Color Format	costbreakid
368	Road-250 Red, 44	$1,518.79	Red	Road Bikes	Bikes	#FF0000	#FFFFFF	8
210	HL Road Frame - Black, 58	$868.63	Black	Road Frames	Components	#000000	#FFFFFF	7
215	Sport-100 Helmet, Black	$12.03	Black	Helmets	Accessories	#000000	#FFFFFF	1
216	Sport-100 Helmet, Black	$13.88	Black	Helmets	Accessories	#000000	#FFFFFF	1
217	Sport-100 Helmet, Black	$13.09	Black	Helmets	Accessories	#000000	#FFFFFF	1
253	LL Road Frame - Black, 58	$176.2	Black	Road Frames	Components	#000000	#FFFFFF	4
254	LL Road Frame - Black, 58	$170.14	Black	Road Frames	Components	#000000	#FFFFFF	4
255	LL Road Frame - Black, 58	$204.63	Black	Road Frames	Components	#000000	#FFFFFF	4
256	LL Road Frame - Black, 60	$176.2	Black	Road Frames	Components	#000000	#FFFFFF	4
257	LL Road Frame - Black, 60	$170.14	Black	Road Frames	Components	#000000	#FFFFFF	4
258	LL Road Frame - Black, 60	$204.63	Black	Road Frames	Components	#000000	#FFFFFF	4
259	LL Road Frame - Black, 62	$176.2	Black	Road Frames	Components	#000000	#FFFFFF	4
260	LL Road Frame - Black, 62	$170.14	Black	Road Frames	Components	#000000	#FFFFFF	4
261	LL Road Frame - Black, 62	$204.63	Black	Road Frames	Components	#000000	#FFFFFF	4
279	LL Road Frame - Black, 44	$176.2	Black	Road Frames	Components	#000000	#FFFFFF	4
280	LL Road Frame - Black, 44	$170.14	Black	Road Frames	Components	#000000	#FFFFFF	4
281	LL Road Frame - Black, 44	$204.63	Black	Road Frames	Components	#000000	#FFFFFF	4
282	LL Road Frame - Black, 48	$176.2	Black	Road Frames	Components	#000000	#FFFFFF	4
283	LL Road Frame - Black, 48	$170.14	Black	Road Frames	Components	#000000	#FFFFFF	4
284	LL Road Frame - Black, 48	$204.63	Black	Road Frames	Components	#000000	#FFFFFF	4
285	LL Road Frame - Black, 52	$176.2	Black	Road Frames	Components	#000000	#FFFFFF	4
286	LL Road Frame - Black, 52	$170.14	Black	Road Frames	Components	#000000	#FFFFFF	4
287	LL Road Frame - Black, 52	$204.63	Black	Road Frames	Components	#000000	#FFFFFF	4
296	HL Mountain Frame - Black, 42	$617.03	Black	Mountain Frames	Components	#000000	#FFFFFF	6
297	HL Mountain Frame - Black, 42	$653.7	Black	Mountain Frames	Components	#000000	#FFFFFF	6
298	HL Mountain Frame - Black, 42	$739.04	Black	Mountain Frames	Components	#000000	#FFFFFF	6
299	HL Mountain Frame - Black, 44	$699.09	Black	Mountain Frames	Components	#000000	#FFFFFF	6
300	HL Mountain Frame - Black, 48	$699.09	Black	Mountain Frames	Components	#000000	#FFFFFF	6
301	HL Mountain Frame - Black, 46	$617.03	Black	Mountain Frames	Components	#000000	#FFFFFF	6
302	HL Mountain Frame - Black, 46	$653.7	Black	Mountain Frames	Components	#000000	#FFFFFF	6
303	HL Mountain Frame - Black, 46	$739.04	Black	Mountain Frames	Components	#000000	#FFFFFF	6
304	HL Mountain Frame - Black, 38	$617.03	Black	Mountain Frames	Components	#000000	#FFFFFF	6
305	HL Mountain Frame - Black, 38	$653.7	Black	Mountain Frames	Components	#000000	#FFFFFF	6
306	HL Mountain Frame - Black, 38	$739.04	Black	Mountain Frames	Components	#000000	#FFFFFF	6
332	Road-650 Black, 58	$413.15	Black	Road Bikes	Bikes	#000000	#FFFFFF	5
333	Road-650 Black, 58	$486.71	Black	Road Bikes	Bikes	#000000	#FFFFFF	5
334	Road-650 Black, 60	$413.15	Black	Road Bikes	Bikes	#000000	#FFFFFF	5
335	Road-650 Black, 60	$486.71	Black	Road Bikes	Bikes	#000000	#FFFFFF	5
336	Road-650 Black, 62	$413.15	Black	Road Bikes	Bikes	#000000	#FFFFFF	5
337	Road-650 Black, 62	$486.71	Black	Road Bikes	Bikes	#000000	#FFFFFF	5
338	Road-650 Black, 44	$413.15	Black	Road Bikes	Bikes	#000000	#FFFFFF	5
339	Road-650 Black, 44	$486.71	Black	Road Bikes	Bikes	#000000	#FFFFFF	5
340	Road-650 Black, 48	$413.15	Black	Road Bikes	Bikes	#000000	#FFFFFF	5
341	Road-650 Black, 48	$486.71	Black	Road Bikes	Bikes	#000000	#FFFFFF	5
342	Road-650 Black, 52	$413.15	Black	Road Bikes	Bikes	#000000	#FFFFFF	5
343	Road-650 Black, 52	$486.71	Black	Road Bikes	Bikes	#000000	#FFFFFF	5
348	Mountain-100 Black, 38	$1,898.09	Black	Mountain Bikes	Bikes	#000000	#FFFFFF	8
349	Mountain-100 Black, 42	$1,898.09	Black	Mountain Bikes	Bikes	#000000	#FFFFFF	8
350	Mountain-100 Black, 44	$1,898.09	Black	Mountain Bikes	Bikes	#000000	#FFFFFF	8
351	Mountain-100 Black, 48	$1,898.09	Black	Mountain Bikes	Bikes	#000000	#FFFFFF	8
358	Mountain-200 Black, 38	$1,105.81	Black	Mountain Bikes	Bikes	#000000	#FFFFFF	8
359	Mountain-200 Black, 38	$1,251.98	Black	Mountain Bikes	Bikes	#000000	#FFFFFF	8
360	Mountain-200 Black, 42	$1,105.81	Black	Mountain Bikes	Bikes	#000000	#FFFFFF	8
361	Mountain-200 Black, 42	$1,251.98	Black	Mountain Bikes	Bikes	#000000	#FFFFFF	8
362	Mountain-200 Black, 46	$1,105.81	Black	Mountain Bikes	Bikes	#000000	#FFFFFF	8
363	Mountain-200 Black, 46	$1,251.98	Black	Mountain Bikes	Bikes	#000000	#FFFFFF	8
364	Mountain-300 Black, 38	$598.44	Black	Mountain Bikes	Bikes	#000000	#FFFFFF	6
365	Mountain-300 Black, 40	$598.44	Black	Mountain Bikes	Bikes	#000000	#FFFFFF	6
366	Mountain-300 Black, 44	$598.44	Black	Mountain Bikes	Bikes	#000000	#FFFFFF	6
367	Mountain-300 Black, 48	$598.44	Black	Mountain Bikes	Bikes	#000000	#FFFFFF	6
373	Road-250 Black, 44	$1,320.68	Black	Road Bikes	Bikes	#000000	#FFFFFF	8
374	Road-250 Black, 44	$1,554.95	Black	Road Bikes	Bikes	#000000	#FFFFFF	8
